baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EQU24_RS00710	1284.93008955585	0.135788215672058	0.109094922743818	1.24467951630455	0.213249578365641	0.713661109688001
EQU24_RS00715	706.88938588946	-0.00317980767168989	0.106769107046556	-0.0297820948366962	0.976240838683126	0.997575308014409
EQU24_RS00720	1720.48133271032	-0.0786008827208384	0.113017699264204	-0.695474100362734	0.486758236729165	0.895097661443008
EQU24_RS00725	1190.99791062424	-0.0848268844800681	0.112542979298973	-0.753728797730894	0.451012086120174	0.881642246245145
EQU24_RS00730	1161.05074668926	-0.0835667955499548	0.110752950422461	-0.754533357632406	0.450529023054306	0.881642246245145
EQU24_RS00735	520.609542705514	-0.162316099793733	0.113000759290478	-1.43641601005959	0.150884000134661	0.636471907976156
EQU24_RS00740	2430.32691279264	0.0256252456779643	0.10869298147402	0.235758052916132	0.813620419599533	0.980544963034389
EQU24_RS00745	1058.43870069887	-0.0352638675536157	0.112019922638533	-0.314799963461906	0.752913539477406	0.966904170239204
EQU24_RS00750	1459.61538968456	-0.00487408319805013	0.1115746189731	-0.043684515734042	0.965155882088044	0.997258495822227
EQU24_RS00760	1395.06075677109	0.0463605883871879	0.111448682238381	0.415981485434038	0.677423551260876	0.951315745612003
EQU24_RS00765	2680.99786542466	-0.123581281365949	0.107042603631923	-1.15450556295226	0.248292959195395	0.756880954163605
EQU24_RS00770	1300.41262104315	-0.257574338779701	0.112996847096527	-2.27948252892109	0.022638397367902	0.249640906494132
EQU24_RS00775	1132.85605414716	-0.0898395231029736	0.112978689521037	-0.795189990996002	0.426502993114374	0.873346565301681
EQU24_RS00785	537.570580626196	0.0542304055072529	0.112651962818538	0.48139778615849	0.630233809814888	0.936706289720372
EQU24_RS00790	599.50445308248	0.134705914153141	0.111106816577098	1.212400087619	0.225359267398975	0.726435314496249
EQU24_RS00795	1717.14840386138	-0.0155752171546173	0.108969699466066	-0.142931633572758	0.886344175083958	0.990398743484802
EQU24_RS00800	2830.86542046636	-0.0323077443508436	0.111578670662559	-0.289551257054766	0.772159561359604	0.97281534217633
EQU24_RS00805	992.534934963626	0.0730261122845435	0.110976687379872	0.658031105529181	0.510518143755972	0.902124005341114
EQU24_RS00820	300.600152278997	-0.0199587180339431	0.109886416533834	-0.181630438624758	0.85587275958987	0.987517780217569
EQU24_RS00825	1371.80463815201	0.0284409191810939	0.110660168096934	0.257011349884999	0.797170011369162	0.977914974372644
EQU24_RS00830	1244.93799321591	0.10007873675102	0.112827004112044	0.887010494860213	0.375073250203063	0.849141677168207
EQU24_RS00835	1942.84701835073	0.0853107553431679	0.111152539608026	0.767510626783809	0.442777977394373	0.881329383958422
EQU24_RS00840	1195.41477826893	0.198633444485765	0.11089062767343	1.79125547986558	0.0732523068521182	0.460508271736992
EQU24_RS00845	2716.58246830915	0.0183462908373769	0.11294913094808	0.162429676823369	0.87096750241392	0.990166957437859
EQU24_RS00850	580.843159202529	0.0400627908606461	0.112597262154291	0.355806083506262	0.721985792869943	0.959812411530926
EQU24_RS00855	1370.52376730699	0.0327322163507335	0.109635280482264	0.298555503363067	0.765279220844659	0.970668427193289
EQU24_RS00860	896.064578834017	0.0669755080025603	0.112199305109371	0.596933358341866	0.550551874588291	0.917522180090587
EQU24_RS00865	2212.7401684664	-0.115819426817391	0.109191506347096	-1.0606999636879	0.288826276494428	0.789922269421694
EQU24_RS00870	530.006771073235	-0.0283282199344551	0.109962561564727	-0.257616951909403	0.796702545475243	0.977914974372644
EQU24_RS00875	2693.69589883896	0.0676373931761994	0.112065519573357	0.603552220466215	0.546141387001883	0.917522180090587
EQU24_RS00880	657.539103481094	-0.0098384800339391	0.0925761382989859	-0.106274470016934	0.915364586835445	0.992455929976611
EQU24_RS00885	616.363306460739	0.0592455907448026	0.112673268855897	0.525817626011849	0.599014926737845	0.933085389546098
EQU24_RS00890	3109.37090069921	0.0103849201124666	0.109774814612628	0.0946020282440257	0.924630938757726	0.993272817686395
EQU24_RS00895	3179.49187352644	-0.159563921628635	0.108121700891869	-1.47578072035892	0.140002768040111	0.61905639379617
EQU24_RS00900	626.114537029318	0.0870612373933107	0.0912509659901939	0.954085652119744	0.340040288172742	0.830752181032194
EQU24_RS00905	616.911145688929	-0.0769926670937432	0.104758867231018	-0.734951313705561	0.462369145588327	0.88509836860596
EQU24_RS00910	449.971039401773	-0.180941731747673	0.112967625161787	-1.60171315886774	0.109219053954811	0.563736888314119
EQU24_RS00915	568.879034011381	-0.372228621247651	0.112268703339625	-3.31551545689114	0.000914742822325347	0.0302614920565992
EQU24_RS00920	378.724078056793	-0.339426601319029	0.112934973535333	-3.00550476697846	0.00265140440011048	0.0584757822887754
EQU24_RS00925	365.792979889383	-0.371674791125535	0.112936439056231	-3.2910085905974	0.000998288646458657	0.0311170483550044
EQU24_RS00930	428.171845125281	-0.138320731337382	0.11300864443953	-1.22398363437938	0.220958401324643	0.723853983560277
EQU24_RS00940	2575.85539703581	-0.00864070908485647	0.0606058969239437	-0.142572084952393	NA	NA
EQU24_RS00945	2177.63542566587	-0.182302684915772	0.0906570950707747	-2.01090366698217	0.044335632962984	0.361318264469512
EQU24_RS00950	3749.18169669217	-0.291522815722716	0.102070058188336	-2.85610511933684	0.00428873115723864	0.0809922186540704
